sample_id,source_index,user_id,session_id,repetition_id,embedding_00,embedding_01,embedding_02,embedding_03,embedding_04,embedding_05,embedding_06,embedding_07,embedding_08,embedding_09,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,embedding_22,embedding_23,embedding_24,embedding_25,embedding_26,embedding_27,embedding_28,embedding_29,embedding_30,embedding_31
s047_s08_r40,16389,s047,8,40,0.0,0.0,1.2521119,0.0,2.2641282,3.031324,1.4419895,4.4142895,0.0,3.4597337,0.67675227,0.24041855,1.7808391,1.2231051,5.4860663,0.0,0.0,0.31750545,0.0,1.2317369,0.5288942,4.614786,0.15099335,1.2377156,0.0,0.0,0.0,1.2714324,0.0,2.5496535,2.9591203,2.2107513
s025_s05_r48,7847,s025,5,48,0.0,1.8114793,0.0,2.7980368,2.5292695,0.0,0.17627001,1.3150054,1.8929796,0.0,1.3802931,0.0,0.0,1.4652011,1.9176314,2.7044997,0.0,1.732753,0.0,0.0,4.395118,5.2207727,3.8255105,1.0159853,0.008027554,0.93298984,0.0,0.0,2.2378933,3.4537678,1.3892382,2.8263907
s037_s06_r10,12659,s037,6,10,0.7658136,1.5763773,3.1073623,0.5224468,1.6598781,1.3271329,0.0,4.66105,4.423545,0.45389524,0.0,0.03407532,0.0,3.1445956,1.7547858,1.6449292,2.955659,5.87859,0.0,1.1434886,2.1623704,1.7586317,0.3598995,3.8565083,0.0,2.7557037,3.1820905,0.0,3.6941862,3.0760002,0.0,1.8868797
s012_s05_r21,3420,s012,5,21,0.91404897,0.56857914,1.6682366,0.0,0.0,2.1906993,2.0970182,0.0,1.082511,2.2991152,5.3867617,0.0,5.2661066,0.0,2.4351172,0.0,4.839635,0.0,1.0549474,0.0,0.0,0.0,0.0,5.19972,0.0,0.0,3.3311386,3.652907,0.0,0.0,0.0,0.0
s032_s08_r14,10763,s032,8,14,4.681629,5.0619287,4.8939824,0.9700886,1.1952386,6.2108483,0.0,0.10743198,0.0,2.8058953,0.0,4.2005844,6.507059,0.0,0.21748072,0.0,0.0,3.7657413,4.85088,4.9896345,0.0,0.0,0.0,0.0,1.6230305,4.4616466,2.7202332,0.0,0.0,1.9276649,0.0,0.0
s056_s07_r49,19948,s056,7,49,2.7215402,0.7226522,1.3241372,0.0,5.275323,1.9848489,3.7808743,0.0,0.0,3.9561,0.0,2.6623785,9.626634,0.0,7.1971335,2.5345862,0.0,3.3783636,1.4952847,2.3979251,0.0,0.89786345,0.0,7.2577486,0.0,3.5284863,2.270441,0.0,3.5140858,0.8521433,0.0,0.0
s041_s06_r19,14268,s041,6,19,8.46083,0.0,0.0,0.0,0.0,11.424654,0.0,0.0,4.0183125,4.922263,2.9502327,2.836412,9.450032,0.0,0.0,0.0,0.0,0.0,0.0,6.129882,0.0,0.051299155,0.0,5.3064895,0.0,0.0,3.0589023,2.6727195,0.0,0.0,0.0,0.0
s015_s02_r07,4056,s015,2,7,1.0633571,2.7194998,0.0,0.6297851,1.7470976,0.0,0.08472204,3.125985,3.9447868,0.0,0.0,0.0,1.291613,2.1083567,4.2199864,0.065825224,2.746907,8.019297,0.08464441,0.62375593,5.1687193,1.6799419,2.1259105,2.603432,3.688479,1.2464033,4.0415955,1.1310877,0.120129,2.4315083,0.0,5.670055
s015_s02_r06,4055,s015,2,6,0.008831441,2.378148,0.0,1.9147608,2.584506,0.0,0.0,2.482286,2.2447312,0.0,0.0,0.0,0.0,1.3202592,2.842843,0.0,0.0,7.3345423,0.0,0.42444986,4.5085483,3.6967819,1.9057089,2.3317327,2.774623,2.5442662,6.5170517,0.9105042,0.0,1.4011581,0.0,6.1545224
s030_s08_r38,9987,s030,8,38,0.379467,0.46693298,0.0,0.0,0.0,0.0,0.0,0.0,1.6847197,4.0808916,5.9451876,0.0,0.16881528,0.0,1.4358389,0.0,3.112177,0.0,0.10086833,0.0,0.0,0.0,0.0,0.872437,2.6187594,0.0,0.0,0.0,0.0,0.0,3.9084277,0.0
s015_s03_r15,4114,s015,3,15,0.0,3.7770622,0.0,1.8089651,5.725874,2.5054817,3.1473477,2.5883994,0.0,0.0,0.005077809,0.35527042,0.0,0.6829629,2.2523649,0.0,2.100738,3.1703668,1.5902299,0.9454654,2.383621,0.52344906,0.23921952,0.0,2.9231691,0.0,2.526456,0.4407813,1.652897,2.7663808,2.9538493,3.4451115
s057_s08_r41,20390,s057,8,41,0.0,1.5659891,0.0,4.9664536,5.548395,0.0,2.1033225,2.6077728,0.0,0.0,0.0,1.8320597,0.0,0.0,5.3049746,0.0,0.94903696,3.059523,5.218402,0.35338318,0.62741953,4.0113688,0.0,4.867313,0.31160185,1.4904175,5.318905,1.9058119,0.0,1.2426517,0.0,2.7701068
s038_s08_r09,13158,s038,8,9,0.16005158,2.705534,0.23479754,4.574481,1.9249032,0.0,0.13294804,1.283537,1.7656343,0.054063916,1.5491489,3.1977856,1.0466871,0.0,0.36075965,4.498242,0.0,3.578611,3.43902,2.093985,4.400986,2.9734426,1.1401876,5.031013,3.9912531,3.0424907,0.0,2.7679682,0.0,2.8549504,1.2677611,4.9095335
s053_s04_r20,18569,s053,4,20,0.0,4.227207,0.23387319,6.833321,1.324669,0.193739,6.7014503,0.0,0.0,0.0,0.0,0.46280336,0.0,0.0,4.9375963,0.0,0.0,4.4704156,0.0,4.4472847,0.26041466,0.0,0.0,0.17386985,3.2043889,0.0,2.6649194,5.154614,0.0,0.0,0.9389198,3.283794
s034_s01_r10,11209,s034,1,10,0.0,0.93991965,3.4385588,1.7061996,0.0,2.580717,0.9509497,2.5767508,1.8256274,0.40960988,0.17976823,2.8023138,0.0,0.0,0.0,0.0,0.56148374,1.7865744,0.0,0.0,3.6052592,4.0671954,2.3730822,2.6568975,1.417559,0.0,1.3354425,0.0,0.32318524,2.6838632,4.350031,0.0
s010_s07_r46,2745,s010,7,46,0.0,6.254712,2.2842264,2.4869409,1.8160615,1.5470967,3.0003722,4.1360817,0.0,0.0,0.0,0.0,0.0,0.0,3.3159015,0.0,0.0,4.6414905,0.21656775,0.0,0.0,0.0,0.0,0.0,5.3780212,0.5427074,3.7587082,0.0,3.7652974,5.7571716,1.9075603,1.5233142
s024_s06_r11,7460,s024,6,11,1.2314712,0.0,0.0,1.9860225,1.1135368,0.0,0.0037759542,3.0512667,2.7080545,0.0,0.0,0.0,0.0,5.4278555,0.0,1.4433401,2.7907186,1.1410424,0.0,0.0,2.5781915,1.3011117,3.908362,0.0,0.6263579,3.8411405,1.9308339,2.3148804,0.0,4.1335516,0.0,3.0276358
s017_s05_r17,5016,s017,5,17,1.1193383,2.5088763,0.0,4.475182,2.4691472,0.76494676,2.1338618,3.7071414,0.0,0.0,0.0,0.0,0.0,1.2162288,0.0,0.97131324,0.0,5.3521514,0.0,0.119737506,2.8129091,0.0,3.059238,1.3565241,3.5214121,4.961781,3.5041409,0.0,0.8429068,3.16228,0.0,3.6252115
s032_s08_r15,10764,s032,8,15,3.6192098,4.634672,2.2430224,0.0,3.5893726,2.6997583,3.1262338,0.0,0.5343435,3.9941344,1.2154288,1.0001864,1.3435316,0.0,3.755826,3.0679643,2.7358477,2.1780581,6.4413905,1.9911472,1.400984,0.0,0.16627672,0.0,2.92301,0.0,3.1582298,0.0,0.58219343,2.6659427,0.80320156,0.61640453
s031_s08_r41,10390,s031,8,41,1.6169779,0.0,2.664684,0.16759753,0.0,0.6434461,0.47062194,1.8244586,2.9196563,0.35388044,3.253764,0.0,0.0,3.4925976,1.1882322,2.0490372,0.6304942,1.9541497,1.6611023,3.0105543,3.4362824,4.608053,3.680808,0.9778293,0.8182809,0.39597636,0.28637293,1.4957459,0.48004377,2.032648,0.0,1.031364
s019_s01_r17,5616,s019,1,17,1.4674795,0.0,0.0,0.6470168,2.4220295,2.845067,2.8420763,1.8477619,2.9412384,3.2586718,2.0616693,3.0485406,0.0,4.7902327,0.0,0.16084188,3.42765,2.5277276,2.1195319,1.1020123,1.5014024,1.9233491,3.4743543,0.37447646,0.023227394,3.5808768,0.0,2.9996452,0.0,2.3976858,1.4470682,3.0409534
s043_s03_r43,14942,s043,3,43,2.0091002,0.0,0.0,0.80101824,3.1564717,1.3095983,2.0436153,1.7919765,0.0,2.590386,0.0,0.0,0.0,0.9703449,0.0,4.4715137,2.5902975,1.2463872,0.0,0.0,0.3084223,0.0,1.8919692,0.0,4.2309737,3.8960974,0.0,6.917992,0.0,4.308142,0.0,3.1298187
s021_s08_r30,6779,s021,8,30,0.0,5.2380753,3.7033634,0.82543737,3.4054987,1.0535996,1.2955884,3.073702,0.7393188,2.1065145,0.43883273,0.0,0.0,0.0,0.3378994,0.2563293,3.0893786,3.1270514,2.3940828,0.0,0.031744957,0.10495871,0.0,0.0,1.9278657,0.0,1.2967579,0.0,3.805666,3.8179965,3.5206873,0.96782446
s016_s04_r19,4568,s016,4,19,0.22940606,0.0,0.0,0.0,1.5850874,0.0,0.0,6.9917603,0.23599786,2.4433274,1.370476,0.0,1.8094344,0.0,0.0,3.748039,0.0,0.0,0.0,0.95908904,0.0,0.098899186,4.7605615,1.3506916,3.5449781,0.8279426,0.0,6.50514,0.0,0.0,4.8210897,1.5278609
s026_s04_r05,8154,s026,4,5,0.8234466,0.0,1.2882032,5.3118587,3.8055403,1.6985118,2.099338,4.328841,1.8134722,0.0,0.4357928,2.5846305,1.0570891,3.6233659,0.08905989,2.880401,0.2838483,0.6724619,4.802223,2.0168893,1.9923933,1.4573436,2.7468991,3.7928176,2.2722073,4.1674743,0.0,0.34287113,3.343966,0.6022744,1.5811479,2.8373363
s052_s06_r22,18271,s052,6,22,0.0,2.358491,0.0,5.240357,4.64217,0.0,5.4538817,0.0,0.0,0.0,0.0,4.5344563,0.41773856,0.0,4.3953366,0.0,1.4387462,2.9684424,0.0,1.844255,5.2597895,0.0,0.0,2.2341993,1.9134881,0.0,2.9271624,6.1842966,0.0,0.0,5.384155,6.9695764
s047_s08_r07,16356,s047,8,7,0.35164613,2.8531418,1.3440218,2.0808165,3.4968903,3.4124446,1.7408134,2.9331505,1.4102196,0.0,0.0,0.0,0.0,4.538802,4.485615,1.3788915,0.0,2.0595613,0.0,0.0,2.5091755,1.5587647,3.712359,1.161553,2.4595723,1.266588,1.6813129,0.0,1.4076107,1.4904815,0.0,4.572778
s022_s04_r41,6990,s022,4,41,3.735208,0.0,0.0,4.352079,2.1895432,0.0,1.8552079,3.5358987,2.7342446,1.8875892,0.0,3.3417318,0.0,1.3209274,0.0,0.1294617,4.3689756,0.17857069,0.7422859,0.0,0.0,0.0,3.5596776,0.0,3.8600867,4.553809,0.0,5.2129207,0.0,2.9059434,1.954129,0.6202046
s048_s08_r31,16780,s048,8,31,1.5694927,0.7081295,2.6215234,2.4559255,3.148823,0.0,0.0,1.4814222,4.2201195,0.0,0.0,4.4402313,2.5295596,0.07818976,2.5970476,1.1851214,2.1314542,3.1050534,1.4139084,0.0,4.33481,0.2443516,0.0,6.023801,2.4833486,4.4360595,0.7410886,0.0,1.1487936,0.5381174,0.04828289,2.8464162
s035_s03_r15,11714,s035,3,15,2.4950097,0.0,0.0,1.2885157,4.841846,0.30459332,4.925547,0.0,0.9051168,0.0,0.0,3.8474495,0.0,0.0,0.0,2.8668387,2.9081783,2.0800889,0.400665,0.1290063,3.3052022,2.1586423,4.438357,0.0,1.2436056,5.554539,0.10465407,1.3275732,0.0,0.9475337,0.0,0.6419599
s046_s07_r03,15902,s046,7,3,2.3941271,0.0,4.1159034,1.1548059,2.5666869,2.4327145,2.944265,3.289349,2.454092,2.1584835,1.0991545,3.8611214,2.237191,2.5832324,0.4202758,3.6772864,0.8476438,0.0,2.9887981,0.35786116,2.2689328,2.7395196,2.725902,1.084678,1.6357961,2.7919521,0.0,0.0,2.3116758,0.35478008,0.0,0.75060105
s003_s08_r32,781,s003,8,32,5.004648,6.995782,0.0,1.090117,1.5708474,0.0,0.0,0.0,0.0,0.52154446,2.9663367,2.892086,5.829993,0.0,1.3914051,0.0,3.6115844,0.0,5.178205,0.4528913,0.0,0.0,0.0,4.0231905,3.4071116,0.0,1.7870103,0.0,0.0,0.0,0.96356046,0.0
s055_s05_r39,19438,s055,5,39,5.348007,4.112202,5.1542344,0.0,2.0230458,2.2486324,0.0,1.1709061,2.723682,4.8634024,0.0,5.4459453,7.3716807,0.0,2.4973392,0.0,0.0,4.2091594,1.8117535,0.2764941,0.0,0.0,0.0,5.4262714,0.0,2.3111866,6.1603155,0.0,1.2410177,4.3397512,0.0,0.0
s049_s08_r06,17155,s049,8,6,3.7887502,0.0,0.0,2.0140855,3.368317,0.0,0.0,0.0,4.595132,4.3651867,2.2215233,6.7870626,1.2820601,0.0,0.0,0.0,0.0,0.0,0.7525535,0.0,0.0,0.0,0.0,0.0,2.9629536,4.9613523,0.0,4.3545375,0.0,2.9466991,2.0961785,1.8794401
s008_s07_r12,2311,s008,7,12,0.0,2.608103,4.4250793,1.3548506,4.0425186,0.46185306,5.6704698,0.0,2.686727,0.0,0.0,3.7900436,2.0982199,0.0,6.5213966,0.0,0.626369,3.2617126,0.0,4.4836454,2.4973516,0.0,0.0,4.456943,0.42107666,0.0,2.1024954,0.9095825,0.0,0.0,0.0,1.3955433
s020_s05_r03,6202,s020,5,3,0.0,2.3411267,6.7307377,3.0495427,1.5754185,3.1947107,0.90430534,3.224445,0.009897411,0.0,0.0,5.5218945,2.663933,0.0,1.2711256,0.0,0.0,4.2800155,0.0,4.373555,2.4460218,1.8912134,0.0,5.3314724,0.0,0.0,4.148273,0.0,0.0,0.0,1.8613579,0.22005787
s035_s06_r42,11891,s035,6,42,7.1625857,0.0,0.0,0.0,5.3400574,0.0,0.62041557,0.0,2.7451653,0.42470995,0.0,3.6498504,0.0,0.0,0.33186027,0.0,7.0344863,0.0,0.51203376,0.0,0.0,0.0,0.0,0.0,0.0,6.768957,0.0,0.0,0.0,0.0,0.0,0.0
s052_s04_r15,18164,s052,4,15,0.0,2.2654681,0.0,6.5039525,3.7727482,0.0,4.8629694,0.0,0.0,0.0,0.0,3.5861447,0.0,0.0,4.057558,0.0,0.5152025,1.1527255,0.0,0.67854524,4.8071027,0.120340645,0.0,2.0644093,1.8785434,0.0,3.387906,7.755827,0.0,0.0,6.708948,7.0809402
s019_s05_r05,5804,s019,5,5,2.7569308,0.0,0.17376184,0.0,2.766343,2.7423005,3.6289997,0.0,3.7758913,5.120388,3.2010999,3.588794,0.0,4.7272987,0.628474,0.25125358,2.5745184,0.0,2.2757418,0.0,0.52108085,1.7712204,2.379035,0.8712165,0.0,3.6534076,0.0,2.99269,0.0,2.3742754,0.073293805,1.256475
s040_s04_r39,13788,s040,4,39,1.7355053,0.0,0.9338478,1.4682529,0.0834949,0.15486503,2.6510468,0.8826377,0.71145195,2.0591025,4.551422,1.4312993,0.0,0.010459274,2.9733045,3.1665602,3.4155943,0.0,0.0,1.7856154,0.0,1.3436632,2.074622,2.7892296,0.0,0.5726866,0.0,2.3580856,0.0,0.0,5.5788794,5.13771
s016_s04_r25,4574,s016,4,25,0.0,0.0,0.0,0.58209896,1.6865613,0.0,0.0,4.905181,3.3708718,4.7938113,1.1369753,3.647189,2.149211,1.8593351,0.0,4.337629,0.2930397,0.0,0.0,4.8942614,0.0,2.5918717,4.3238144,2.6948795,0.0,0.8497199,0.0,4.522363,1.6749338,0.0,3.096242,0.0
s011_s05_r04,3003,s011,5,4,5.5544977,3.2603133,6.2940044,0.0,1.1461625,1.1247171,3.8938174,0.0,0.0,0.0,0.0,3.9341738,0.25637484,0.0,6.972642,0.0,0.16774085,3.1020265,1.1518575,4.338198,1.5054998,0.7334317,0.039652944,1.0110196,0.0,0.0,1.1449865,0.25626862,0.0,0.0,0.0,2.9083724
s054_s07_r17,19116,s054,7,17,0.60817194,0.15969026,3.990157,4.5554166,1.4308248,0.0,3.895226,0.0,2.2669535,0.0,1.9079183,6.3820686,0.0,0.0,3.9365487,0.0,5.368677,2.4192557,0.0,1.9873161,1.1981392,0.0,0.0,5.0127845,0.0,0.0,0.0,1.1902725,0.0,0.0,1.786087,2.9536445
s046_s05_r35,15834,s046,5,35,1.3931807,0.0,3.8711948,4.1040397,0.7540517,1.8195469,2.1505027,3.448823,3.2042398,0.561983,1.6512558,4.908086,0.5132881,2.7649112,0.0,2.2056966,2.624842,1.9019569,2.2518091,2.9909186,0.9794041,0.6458094,3.277048,4.3453135,1.6459925,3.4662223,0.0,0.0,0.60501885,0.0,1.8569133,0.41424203
s024_s05_r08,7407,s024,5,8,3.8185692,0.0,0.0,0.9972628,2.587174,1.1217076,0.0,4.041144,0.0,0.0,0.0,0.0,0.0,3.609995,0.0,0.0,0.6219311,0.0,0.0,0.0,0.0,6.6415396,0.20825052,0.0,4.580343,4.331288,3.7755725,0.19654441,1.6983668,3.8489842,0.0,2.7852783
s053_s07_r47,18746,s053,7,47,0.0,4.3879538,0.0,6.1871333,0.62221354,0.0,4.7600193,0.07060838,0.0,0.0,0.0,0.0,0.0,0.3549294,4.145026,0.0,0.0,5.6227036,0.0,3.055783,0.0,0.78771245,0.0,0.0,3.924643,0.0,3.6785975,2.9360075,0.0,0.0,0.0,2.0986183
s004_s06_r01,1050,s004,6,1,1.6755645,3.4378023,1.3403106,0.0,2.0853174,3.51822,3.221066,0.0,1.9631617,1.3401246,0.0,0.0,1.9026929,2.3004088,3.1108356,1.7094021,1.6974201,5.65517,0.71085024,5.64291,4.401787,0.92444384,0.131378,2.0268145,0.0,0.0,3.314178,3.069912,2.2880805,0.9273118,0.0,2.6007268
s057_s01_r16,20015,s057,1,16,0.0,2.127789,1.5956554,7.0460396,1.4440304,0.0,1.6126738,2.4069645,0.0,0.0,0.0,3.1958375,1.4080932,0.0,1.884239,0.0,0.0,0.84276974,3.6746323,0.9220942,0.14333773,4.2546616,0.62149817,3.3293362,0.07698047,0.15863934,6.44182,2.5930533,2.7429373,2.1069608,1.657841,0.0
s053_s04_r49,18598,s053,4,49,0.0,2.2656317,0.0,7.1408195,1.8818527,0.6724921,5.6983156,0.9913733,0.0,0.0,0.0,0.0,0.0,0.0,6.102783,0.0,0.0,5.722565,0.0,1.7703328,0.0,1.430432,0.93801147,0.57637393,3.7505698,0.0,2.0565174,5.0970025,0.0,0.0,0.0,3.9214094
s019_s07_r23,5922,s019,7,23,3.1035976,0.81277525,0.0,0.74549484,3.39956,5.7388406,3.446188,0.29897717,0.8257567,2.4998212,2.7036457,0.0,0.0,2.9857147,0.0,1.4578662,1.946629,3.1530247,4.5478024,2.6656315,1.4905124,1.4977108,3.9427357,1.2740378,1.9887631,4.3624935,0.19455141,2.013916,0.6762476,4.2197785,0.0,4.0137124
s030_s06_r28,9877,s030,6,28,0.0,1.7930179,1.6618866,0.0,0.76887953,1.0812831,1.2169315,0.5312623,0.0,3.3639255,3.7919176,0.0,0.43572074,0.0,1.4501647,1.919615,2.4128652,1.0717225,0.0,0.0,0.0,0.0,0.0,1.0861837,1.863503,0.0,0.0,0.5371742,0.67694235,0.48994565,5.868044,0.0
s015_s05_r45,4244,s015,5,45,1.0018142,4.5179386,0.72115916,1.567812,5.398884,3.5226107,0.7438081,2.7621498,0.0,0.0,0.0,0.0,0.0,0.86659294,4.5018654,0.0,1.2301066,2.6685789,0.0,0.0,0.0,1.3458302,0.11008185,0.0,5.7289658,0.0,0.6424483,0.0,0.967981,2.417313,0.0,3.293317
s026_s05_r39,8238,s026,5,39,1.3584926,0.9327686,0.2949046,3.4928071,2.3433576,0.0,0.7152074,3.7435005,1.2390763,0.8341635,0.0,4.1454797,2.4626603,0.5519687,0.0,1.288625,0.5630214,1.1203783,4.2386255,0.6942713,0.22365421,0.0,0.0,1.5950431,2.7301142,3.69519,0.15453964,0.0,2.5645213,1.7382776,2.4010956,1.6658702
s025_s07_r27,7926,s025,7,27,0.0,0.0,0.114248276,1.4589487,1.0943251,0.14516866,0.0,1.9309258,4.6141024,0.0,2.897222,0.0,0.0,4.585204,0.2421208,1.1146251,1.3024325,2.4497023,0.108529225,0.6272862,3.7319791,2.935934,3.0120668,2.2732377,0.0,0.55029076,0.0,0.0,2.8096352,1.3472334,0.2911992,2.402096
s049_s04_r18,16967,s049,4,18,4.01851,0.0,1.9042475,2.6376557,3.3511147,0.0,0.0,0.0,3.6621552,5.112227,4.3789005,6.296645,0.33541554,0.0,0.0,0.8642248,0.90374637,0.0,1.387727,0.0,1.7273817,0.12613559,0.0,1.967375,1.8288338,5.591852,0.0,2.2012215,0.0,3.052957,3.0017529,1.539437
s037_s02_r45,12494,s037,2,45,0.0,0.0,1.6408068,3.119316,0.0,0.8696384,1.5076295,2.386922,0.04470569,0.0,0.94664925,0.0,1.6232884,3.1320834,3.1482496,2.5549717,1.3261261,2.2065954,1.1647015,0.14287996,0.0,3.8538482,0.0,1.7804704,1.674118,0.0,0.0,2.0226607,3.4398794,3.167428,2.4758818,0.16073817
s027_s01_r40,8439,s027,1,40,0.8722159,0.0,0.0,0.0,0.61098176,6.402131,3.9036746,0.50035036,0.3840749,3.4573612,3.7372792,0.0,1.8268467,2.7021098,3.117958,0.9329911,2.6052356,2.6097484,3.8422384,3.5320804,1.353008,3.0787423,0.32845554,0.83547455,0.0,0.0,1.7929683,3.6541204,1.2975969,0.6627964,5.4146137,5.5534854
s017_s07_r36,5135,s017,7,36,1.4733748,1.8970121,0.0,3.1009724,1.3648678,0.51613027,1.3212265,3.841987,0.0,0.0,0.0,0.0,0.0,3.6735277,0.0,0.0,0.0,5.27938,0.0,0.042419076,1.8705418,0.91231453,2.0404115,0.2585497,2.744918,3.5422077,4.66849,0.12043971,1.0957253,2.3332787,0.0,3.7269175
s042_s03_r31,14530,s042,3,31,0.0,0.0,2.0725212,6.1049805,0.0,1.2054682,4.1547437,4.3415227,0.4209382,0.0,1.4149895,1.9096005,0.0,1.2086792,8.102604,0.0,1.1384809,0.0,1.3758681,0.61709744,0.0,4.1693187,2.83116,3.2962022,0.3051748,1.7130322,0.0,0.0,0.0,0.0,1.5880613,1.1224192
s042_s03_r42,14541,s042,3,42,0.0,0.0,2.728776,6.468321,0.0,1.9636316,3.9842043,3.6682518,2.2631907,0.0,2.3710706,1.4438703,0.8865142,1.0803005,6.8555737,0.8813021,1.9367118,1.2546098,0.0,0.08626562,0.0,3.8191843,2.4653335,5.754498,1.3655024,0.0,0.0,0.0,0.0,0.0,1.9450574,0.0
s032_s03_r39,10538,s032,3,39,3.7387967,0.0,1.8649073,0.5060754,4.569166,0.46000326,2.4749045,3.8317225,0.42226446,0.044404924,0.0,3.6140573,4.061494,2.3140106,0.0,0.0,0.22926196,3.394065,4.139982,1.3777485,1.7623241,0.19042724,0.0,1.0380526,1.0311654,1.9088831,0.0,3.5740266,0.4355976,5.285165,0.885498,0.0
s036_s07_r49,12348,s036,7,49,4.1601825,0.0,0.0,4.0777917,3.2865114,0.0,2.4122477,0.0,0.0,2.2233007,0.0,2.6709554,0.0,0.0,0.0,0.0,0.3375668,0.0,0.0,0.0,0.0,0.72044873,5.425715,0.0,5.9992285,2.108542,0.0,4.144107,0.0,5.4515104,0.0,0.60016245
